epoch,train_loss,val_loss,val_ade,val_fde,lr
1,-10.785319783708,-12.815249640776852,7.083842593266689,15.694647494612179,0.00013171308245008332
2,-12.854012600519244,-12.509831523815857,48.446391279782944,99.64470335407806,0.0003718052902482675
3,-12.908358605333078,-12.875902954088858,31.379569743173267,52.759902522721205,0.0006685283048553133
4,-12.94082755759089,-12.81172048916527,18.843336219646584,34.94607550539156,0.000908493033339999
5,-12.979521275798788,-12.871248503310992,6.592064850184002,11.898152586384368,0.0009999999983526205
6,-12.993677215982776,-12.854641470484292,16.002679194143873,28.09429747171899,0.0009987792600829866
7,-13.00206157619023,-12.860713689551563,6.146288268934925,11.471222907740774,0.0009951286546642873
8,-13.006012387361945,-12.877207159698258,6.188823325174593,11.591752132197897,0.0009890659665604332
9,-13.008432935374652,-12.876232637950125,4.16756960182192,7.800987377713918,0.0009806207310526758
10,-13.010510454498212,-12.881946170657601,5.725855131949193,10.568098896340613,0.0009698340903541205
11,-13.012370923384832,-12.88389752012407,3.4781506022452664,6.350275111470272,0.0009567585931793534
12,-13.013603991932339,-12.868992605376105,6.006888902546707,11.330866683917856,0.0009414579387456113
13,-13.015327704661269,-12.890480065325912,2.5695509473393807,4.741642316165904,0.0009240066664526285
14,-13.01679915020324,-12.88926867660535,3.9628377077189354,7.079711192711926,0.0009044897927529333
15,-13.017974018742564,-12.885669237370296,4.113610132336275,7.729241232773449,0.0008830023969816331
16,-13.019238698698137,-12.885354951259794,1.765423010717223,3.3703783896946673,0.000859649158163379
17,-13.020254215220765,-12.886354765626017,4.1649166616015885,7.067413873474372,0.0008345438450530241
18,-13.021575531910248,-12.892058872759689,5.882760692649464,10.671578777148586,0.0008078087618943178
19,-13.02276638804788,-12.889091429762003,2.6993675020414223,4.923238418026172,0.0007795741525967044
20,-13.02391328429683,-12.895082218859416,2.316986932941706,4.420843045839496,0.0007499775662328646
21,-13.025149849034095,-12.88331124387514,4.093634693739396,7.006382399647551,0.0007191631869480784
22,-13.026436358151201,-12.890820890739498,1.9784587805092524,3.5814833602075087,0.000687281131545847
23,-13.027652619729054,-12.885466503362473,2.184942842355318,4.094426598436923,0.0006544867181716966
24,-13.028635588727257,-12.889098499339386,2.750354005028395,4.988343618522736,0.0006209397096578729
25,-13.029836654355051,-12.889672909052942,1.7218062447540812,3.1899240048590682,0.0005868035352150895
26,-13.030911666478298,-12.893714422786564,1.9910232740370344,3.706935850294277,0.0005522444942629698
27,-13.031985010903627,-12.889542643970296,1.6822823397712432,3.1725503363713337,0.0005174309462778437
28,-13.032964731063645,-12.886970542253403,2.4416187426098905,4.358666136616464,0.0004825324906046718
29,-13.03394447863872,-12.88839419696055,2.5152656522206565,4.523057798098728,0.0004477191402287683
30,-13.034905542082873,-12.886021404441053,2.2503462415226374,4.064851989166153,0.0004131604935324115
31,-13.03576186091401,-12.884562632920442,1.7128970270359938,3.15972205400529,0.00037902490807125555
32,-13.036623392918314,-12.88341052129207,1.9908138642971722,3.693849532814123,0.0003454786803956134
33,-13.037376806409476,-12.88374113738785,1.7949815562336562,3.376385711373596,0.0003126852359122297
34,-13.03816946593982,-12.887815083988897,1.7776500808954947,3.3133263921864287,0.0002808043327332556
35,-13.038886464227385,-12.883200224591334,1.5685990381670338,2.938080754242603,0.00024999128339099126
36,-13.039579351743063,-12.88699720543092,2.107765051130266,3.8227647802325397,0.00022039619820992664
37,-13.04020349123065,-12.881730078856812,1.499101719131585,2.834404943188828,0.00019216325402210763
38,-13.040774147947937,-12.879748410328938,1.5153309350930566,2.8725841132147267,0.00016542999178838666
39,-13.041319492867443,-12.88178566989057,1.4865572976999009,2.80674822535167,0.00014032664654730278
40,-13.041816829402933,-12.88206701651898,1.7004481939396332,3.1402205636389966,0.00011697551295583915
41,-13.042196197719228,-12.882600076788172,1.4172191917291133,2.6944700428675765,9.549034951292564e-05
42,-13.042609281934201,-12.883045071070637,1.449327880689365,2.7479833502210136,7.597582436809545e-05
43,-13.04293339135419,-12.88329615978079,1.3741196903835116,2.6059895686891754,5.852700541512366e-05
44,-13.043231290132193,-12.881594202897631,1.3136543121095587,2.5141539000432074,4.322889715473048e-05
45,-13.043473185186855,-12.882255387445175,1.3480370704464981,2.573992252275375,3.0156026582590435e-05
46,-13.043670661381665,-12.882203251396389,1.3150731698597913,2.512221534825528,1.937208012005691e-05
47,-13.043777064143534,-12.882833919953942,1.2739561616632737,2.431895793728698,1.0929593356347197e-05
48,-13.043903727556076,-12.882837397966853,1.2612298544997282,2.4091139728500264,4.869695113653608e-06
49,-13.043951839439629,-12.882186340948227,1.260925580133607,2.420350934847543,1.2219070820070231e-06
50,-13.04398268106988,-12.882113284413563,1.2613722257315725,2.419640711732079,4e-09
