epoch,train_loss,val_loss,val_ade,val_fde,lr
1,-11.452338906079627,-12.766070433401445,75.06662302696954,140.04795675575127,0.00013171308245008332
2,-12.85389641674298,-12.8701216414211,14.623982693109172,26.917232850071244,0.0003718052902482675
3,-12.941025995776943,-12.823164209338847,30.88698953292989,57.940813131407374,0.0006685283048553133
4,-12.963806578663277,-12.786782757825002,15.737780044022596,28.89310905332213,0.000908493033339999
5,-12.979958499124807,-12.835287304543932,18.85012359468197,35.060923584448325,0.0009999999983526205
6,-12.989036874253621,-12.86505268694062,16.548813919636995,30.64280714904051,0.0009987792600829866
7,-12.99389496761391,-12.877877558597815,16.322583333850247,30.078283649459873,0.0009951286546642873
8,-12.997345263643782,-12.889295678055356,6.228513789846008,11.262478962144183,0.0009890659665604332
9,-12.999716358899454,-12.888186409511137,10.803597337098449,20.076088350071295,0.0009806207310526758
10,-13.00128362129517,-12.8858132151938,9.728376680406816,17.807488064158434,0.0009698340903541205
11,-13.002532958060272,-12.886279305450921,13.203789916807878,24.671471891345107,0.0009567585931793534
12,-13.003423280494157,-12.883348163220408,8.082937711603583,15.161037548941254,0.0009414579387456113
13,-13.004251381839584,-12.894280523384342,5.19551434171574,9.8250484757516,0.0009240066664526285
14,-13.005116499979675,-12.893967241768436,3.024985449115632,5.897273461822543,0.0009044897927529333
15,-13.006131210684469,-12.886861266740455,3.5791098196999176,6.902831904934206,0.0008830023969816331
16,-13.006170204751559,-12.887982440729324,2.3042386403503117,4.4670002628925625,0.000859649158163379
17,-13.007249982782113,-12.895413867242132,6.1378356412044575,11.628894768768182,0.0008345438450530241
18,-13.00743053279798,-12.888591463817942,4.988393411275379,9.467492660130803,0.0008078087618943178
19,-13.008005081529149,-12.8900566537811,2.7668876870392127,5.351360353219699,0.0007795741525967044
20,-13.008088341979093,-12.883840906332177,2.1025970069411373,4.2852211638058515,0.0007499775662328646
21,-13.00891907085744,-12.89592256077521,2.031955445012005,4.041065270086302,0.0007191631869480784
22,-13.00931858277136,-12.897143924563851,6.4526873324560015,12.167705229036624,0.000687281131545847
23,-13.009494985104839,-12.897785771200798,2.6662796019713375,4.934820154217571,0.0006544867181716966
24,-13.009912911003566,-12.899682193473415,1.9327469693321586,3.7511889693601357,0.0006209397096578729
25,-13.010238965044342,-12.897227843139293,2.4344214847882673,4.628207710152111,0.0005868035352150895
26,-13.010500573988725,-12.901755167780868,2.8824762552006833,5.360214404600033,0.0005522444942629698
27,-13.010856970028051,-12.900990087523448,1.7136984658451053,3.3324144119808476,0.0005174309462778437
28,-13.011124399897357,-12.902406374084066,2.8308168842138715,5.372017138913066,0.0004825324906046718
29,-13.011355155506184,-12.906252170978835,2.173582277721509,4.283096097786386,0.0004477191402287683
30,-13.01165046463949,-12.909345896019726,1.8735719784460416,3.7304521723429627,0.0004131604935324115
31,-13.011893731987138,-12.897942599408534,1.84774693004318,3.5285713434926906,0.00037902490807125555
32,-13.012137169985808,-12.894976361804362,1.8510762617490848,3.6846229683113427,0.0003454786803956134
33,-13.01233941085579,-12.903480655247723,2.655837849835326,5.025530379126481,0.0003126852359122297
34,-13.012572214584942,-12.902769184827209,1.7469402938257272,3.418068529149783,0.0002808043327332556
35,-13.012805865100496,-12.897946189384873,2.117326084116506,4.1465115757954765,0.00024999128339099126
36,-13.012999721891813,-12.896447167408457,1.5607869747608936,3.10183399871939,0.00022039619820992664
37,-13.013213661906024,-12.909979321577467,1.4824716614467843,2.91453638755531,0.00019216325402210763
38,-13.013374556558693,-12.900672309106831,1.7458731027721224,3.349897505497581,0.00016542999178838666
39,-13.01359021540452,-12.911595172230946,1.4101667034264165,2.8232877799049163,0.00014032664654730278
40,-13.013736352439999,-12.910294650297777,1.4457016400843525,2.886516279436172,0.00011697551295583915
41,-13.013906041473073,-12.90247466939375,1.470022382744647,2.880769057469247,9.549034951292564e-05
42,-13.014022252048324,-12.911294529777482,1.5992874087017244,3.1439806723226,7.597582436809545e-05
43,-13.014148729100091,-12.91270516337602,1.4547966345473593,2.897555069529409,5.852700541512366e-05
44,-13.014234114678947,-12.910918736040939,1.4044871876686276,2.7987291099018847,4.322889715473048e-05
45,-13.014331882930232,-12.907779736483127,1.4297930194677775,2.830793733269592,3.0156026582590435e-05
46,-13.014419206045087,-12.910196920517183,1.4159092233574122,2.8013956111455727,1.937208012005691e-05
47,-13.0144678360424,-12.911678565928183,1.3779187980259004,2.732435024950849,1.0929593356347197e-05
48,-13.014540248446995,-12.910454795322847,1.3585456519296455,2.704794414884911,4.869695113653608e-06
49,-13.014542169965207,-12.910493422705962,1.363350125077105,2.7212066568960633,1.2219070820070231e-06
50,-13.014536943238527,-12.909993602870207,1.362228335362034,2.7189432886369636,4e-09
