epoch,phase,train_loss,val_loss,val_ade_tf,val_ade_ar,teacher_prob,lr
43,1,-13.035124030532147,-13.06619263568786,0.29647528717443,,,0.0002499932361043996
44,1,-13.035780782231372,-13.066307764267743,0.2116767049065397,,,0.0002238117727518969
45,1,-13.036522763336043,-13.066197146781775,0.20409482787337774,1.2239630526552598,,0.0001986779484294776
46,1,-13.03716573419497,-13.065864720213522,0.21466630837208167,,,0.00017468710023721897
47,1,-13.037792564670553,-13.06559283092159,0.2550855692914954,,,0.0001519302297618949
48,1,-13.038353426511897,-13.065535788333584,0.19862256188143632,,,0.00013049365789164866
49,1,-13.038880298304003,-13.065611462906736,0.22207989436109032,,,0.00011045869738539324
50,1,-13.036665889335849,-13.064254347033346,0.4331527484067185,2.5159142831961314,,9.190134443894534e-05
51,1,-13.036279495372328,-13.064925370069467,0.3289720582746048,,,7.489199041783406e-05
52,1,-13.036602616618154,-13.065049901195211,0.25940221647074985,,,5.949515485023558e-05
53,1,-13.036738626408638,-13.064984512964354,0.2939512910814097,,,4.5769240692840945e-05
54,1,-13.036777229888187,-13.064738553132145,0.24665700966646392,,,3.3766312797973716e-05
55,1,-13.03755379955282,-13.065048774414317,0.2485258916952773,1.48713831504186,,2.3531900422274057e-05
56,1,-13.037823437720306,-13.065105686775354,0.20734404410949483,,,1.510482452606932e-05
57,1,-13.038108179427548,-13.06504350895687,0.30000920450134405,,,8.517050518513475e-06
58,1,-13.037977711790909,-13.065068175056197,0.23407364056075253,,,3.7935670070618307e-06
59,1,-13.038126522256423,-13.06506283098613,0.21467373860449013,,,9.522910112044139e-07
60,1,-13.038113243820131,-13.065062563385593,0.21467373860449013,1.350708356499672,,4e-09
61,2,-13.034798596564498,-13.065530714246256,0.19862256188143632,,1.0,4.969836434458088e-05
62,2,-13.027301409139806,-13.065773937724016,0.19862256188143632,1.2513167930146059,0.9,4.8800884649231264e-05
63,2,-13.018785136922693,-13.065897117347939,0.19862256188143632,,0.8,4.7329659842615016e-05
64,2,-13.008804464833064,-13.065868744544442,0.19862256188143632,1.2494349864621956,0.7,4.532091636218621e-05
65,2,-12.99691956542259,-13.065522282050114,0.19862256188143632,,0.6,4.2824116139070415e-05
66,2,-12.983646040122947,-13.063937458765695,0.24990625414240333,1.456663257877032,0.5,3.990073868116559e-05
67,2,-12.971459931797451,-13.06247359965862,0.2984414557821767,,0.4,3.6622767243618894e-05
68,2,-12.957694068127516,-13.06037755532626,0.3046984272906352,1.7619522586464882,0.30000000000000004,3.307091636218621e-05
69,2,-12.940011305094382,-13.055960347908522,0.23427710214373457,,0.19999999999999996,2.933264439348566e-05
70,2,-12.919431255153292,-13.050837469140655,0.2191307019385491,1.2411120553811392,0.09999999999999998,2.5500000000000003e-05
71,2,-12.894374103817213,-13.045503009665916,0.23037266705194678,,0.0,2.1667355606514353e-05
72,2,-12.896691682110768,-13.045934133982282,0.20765746516787156,1.1421486362814903,0.0,1.792908363781379e-05
73,2,-12.89786051256096,-13.044210912782287,0.21142549209283903,,0.0,1.4377232756381107e-05
74,2,-12.899450761403225,-13.045395306405378,0.20557085351307922,1.1229237313071887,0.0,1.1099261318834413e-05
75,2,-12.900163994895088,-13.044817077230157,0.2022131188331517,,0.0,8.175883860929588e-06
76,2,-12.900938421256782,-13.043916072575476,0.20258611393799084,1.100664485245943,0.0,5.6790836378137905e-06
77,2,-12.901673605583744,-13.044653219942447,0.1987257406651623,,0.0,3.6703401573849893e-06
78,2,-12.902060357483167,-13.044006946382673,0.19915539767633295,1.073030853892366,0.0,2.1991153507687385e-06
79,2,-12.902433320841432,-13.044417004104856,0.20111701701007295,,0.0,1.3016356554191274e-06
80,2,-12.902453107427258,-13.044480416697327,0.1985374947046572,1.068005589644114,0.0,5e-05
81,2,-12.892921867604711,-13.042156536315105,0.4018588959100115,,0.0,4.969836434458088e-05
82,2,-12.89480336753589,-13.04200352915717,0.2524611098319331,1.3093384814759095,0.0,4.8800884649231264e-05
83,2,-12.898096275884052,-13.043911902930319,0.22801260945202007,,0.0,4.7329659842615016e-05
84,2,-12.899843930890086,-13.041378611231922,0.244060942946316,1.250248408317566,0.0,4.532091636218621e-05
85,2,-12.900147492879428,-13.043617723387147,0.25383986943018966,,0.0,4.2824116139070415e-05
86,2,-12.900792047958966,-13.042128824175247,0.28279635904605777,1.4009145197769006,0.0,3.990073868116559e-05
87,2,-12.902652396096123,-13.041115102521784,0.21633255562405176,,0.0,3.6622767243618894e-05
88,2,-12.903503446615943,-13.041634664448175,0.23373616053919422,1.1829198881983758,0.0,3.307091636218621e-05
89,2,-12.903765717834156,-13.04223300733733,0.22494814016932332,,0.0,2.933264439348566e-05
90,2,-12.905259296875592,-13.043609708870182,0.2423932238285996,1.2057748593389988,0.0,2.5500000000000003e-05
91,2,-12.905869603465078,-13.042309268725901,0.2233324758450517,,0.0,2.1667355606514353e-05
92,2,-12.906341996303825,-13.043593570255021,0.2180373741039078,1.0686323141058287,0.0,1.792908363781379e-05
93,2,-12.90757294526704,-13.041200986412742,0.22187664326719275,,0.0,1.4377232756381107e-05
94,2,-12.908409813885848,-13.042581994964321,0.2342829982338303,1.1474614289899667,0.0,1.1099261318834413e-05
95,2,-12.908915396192585,-13.042539084384483,0.2242061266355663,,0.0,8.175883860929588e-06
96,2,-12.90938067836663,-13.042346331003207,0.21806333044178935,1.0454812499384085,0.0,5.6790836378137905e-06
97,2,-12.90994486235833,-13.042580474326256,0.21739221655075583,,0.0,3.6703401573849893e-06
98,2,-12.910076415816018,-13.042733757025395,0.21247012993058886,1.020145357772708,0.0,2.1991153507687385e-06
99,2,-12.910402453839009,-13.043282476293356,0.2103282987292519,,0.0,1.3016356554191274e-06
100,2,-12.910527860779478,-13.042843739257863,0.22193081776032114,1.079934561625123,0.0,5e-05
101,2,-12.903722840994211,-13.04194720996409,0.37510790737750116,,0.0,4.969836434458088e-05
102,2,-12.903947708834666,-13.040456588421138,0.22672774363837672,1.0968533344566822,0.0,4.8800884649231264e-05
103,2,-12.903659431817303,-13.041304572436534,0.2327367690723356,,0.0,4.7329659842615016e-05
104,2,-12.906607210482122,-13.04041961031492,0.288868966111041,1.4281254447996616,0.0,4.532091636218621e-05
105,2,-12.906725010822601,-13.041702940700254,0.3200384608261935,,0.0,4.2824116139070415e-05
106,2,-12.90657829375846,-13.04230818641275,0.2863992998487916,1.4056868764261405,0.0,3.990073868116559e-05
107,2,-12.906691034634909,-13.04141881324965,0.218243630305914,,0.0,3.6622767243618894e-05
108,2,-12.909284991811413,-13.040182918037205,0.2392657365755256,1.1439806488653024,0.0,3.307091636218621e-05
109,2,-12.909759819353582,-13.041470599114945,0.2596931793542384,,0.0,2.933264439348566e-05
110,2,-12.91073745781753,-13.043162353826899,0.22084306730920933,1.0182572527478138,0.0,2.5500000000000003e-05
111,2,-12.91132039031933,-13.042161429355186,0.2287230649594992,,0.0,2.1667355606514353e-05
112,2,-12.912039235888834,-13.042057528086843,0.2688946984116747,1.296948855370283,0.0,1.792908363781379e-05
113,2,-12.912594789990466,-13.042135419694707,0.23018597278589012,,0.0,1.4377232756381107e-05
114,2,-12.91331241697612,-13.041828971818326,0.26157900896314196,1.2562806290884814,0.0,1.1099261318834413e-05
115,2,-12.913708453954653,-13.04181341128385,0.21803755642144207,,0.0,8.175883860929588e-06
116,2,-12.914491104525188,-13.043146712297602,0.22516229143742006,1.0355818018317222,0.0,5.6790836378137905e-06
117,2,-12.914809745103506,-13.042890621760208,0.21791080847097818,,0.0,3.6703401573849893e-06
118,2,-12.915219414449785,-13.04318617265687,0.23367480334345825,1.0989161868890127,0.0,2.1991153507687385e-06
119,2,-12.915466143487343,-13.042058421412078,0.2166457402251206,,0.0,1.3016356554191274e-06
120,2,-12.915690533566536,-13.04258162413509,0.21726049063336925,0.9909334380179644,0.0,5e-05
