epoch,phase,train_loss,val_loss,val_ade_tf,val_ade_ar,teacher_prob,lr
1,1,-12.542412807794351,-13.014561365685,0.5930264670280202,,,6.895453583793867e-05
2,1,-12.960693138206343,-13.045053792535812,0.6390069963633254,,,0.00015232495524512748
3,1,-12.979007069762671,-13.048332036484489,0.890964470072528,,,0.00028005312573594417
4,1,-12.987481000195485,-13.048000837543624,1.302928136750189,,,0.0004367294227687607
5,1,-12.993133709104178,-13.052305331932914,1.7076190165566736,9.463054039080937,,0.000603451806937776
6,1,-12.997196791708006,-13.054306026303102,1.0570384707947142,,,0.0007601062397121225
7,1,-12.999498548433762,-13.056784151793519,1.3677761100025845,,,0.0008877933194753966
8,1,-13.001623458332485,-13.059755638973797,1.4455494148054593,,,0.0009711083790315676
9,1,-13.003844777743021,-13.060159667346202,1.1222985783230044,,,0.0009999999988559766
10,1,-13.006512813173831,-13.062205645762118,0.931948861481466,5.376590966184934,,0.0009990496256958514
11,1,-13.008482094266926,-13.062809613821011,0.8923709003148387,,,0.0009962062754533768
12,1,-13.01043259050187,-13.06206112241467,0.5217753651302622,,,0.0009914807334656004
13,1,-13.01179257874649,-13.061001924551297,0.8804440323823742,,,0.0009848909245601823
14,1,-13.013067302161717,-13.064906021041933,0.6726134875157477,,,0.0009764618450633097
15,1,-13.013830346346518,-13.064859155214995,0.7136764757747533,4.0462710618972775,,0.0009662254679841532
16,1,-13.014937142685094,-13.065430393425451,0.4419525130297681,,,0.0009542206217355123
17,1,-13.015963822064165,-13.065570057877693,0.4285592958854786,,,0.0009404928428506873
18,1,-13.016681783883147,-13.066279218357668,0.3850358198216241,,,0.0009250942032552466
19,1,-13.017583171218556,-13.06430765750704,0.6748952830843882,,,0.000908083112748882
20,1,-13.018314995198903,-13.066085392192043,0.6518091265188386,3.583937617142995,,0.0008895240974465701
21,1,-13.01888268308122,-13.066551947772354,0.3762034181938543,,,0.0008694875550194533
22,1,-13.0195009443495,-13.066677859780393,0.4280341071613801,,,0.0008480494876638576
23,1,-13.020180340269123,-13.066373540003234,0.5709464906646924,,,0.0008252912138113402
24,1,-13.020940169191483,-13.067012076969448,0.5714309990496031,,,0.0008012990596733054
25,1,-13.021607265299913,-13.067303954512749,0.4358893297424531,2.490658590197563,,0.0007761640317902137
26,1,-13.022295094583693,-13.067350932303118,0.31815015750195236,,,0.000749981471827463
27,1,-13.023124657552064,-13.066038485073626,0.8197904180287507,,,0.0007228506949273662
28,1,-13.02369225240801,-13.067759526560051,0.35203585169381996,,,0.0006948746129890163
29,1,-13.02444269952848,-13.067613231649407,0.3173145377766914,,,0.0006661593443050097
30,1,-13.025171886118807,-13.067832779229233,0.2375075115333053,1.387994355460008,,0.0006368138110357446
31,1,-13.025872080825096,-13.067624197712945,0.26564710559294824,,,0.0006069493260481456
32,1,-13.026606749810606,-13.06705575382382,0.3036158105785473,,,0.0005766791706860097
33,1,-13.027353966574953,-13.06747046398382,0.41080592025814033,,,0.0005461181650735683
34,1,-13.02804175951068,-13.06730224726897,0.3180362218471608,,,0.0005153822325821776
35,1,-13.028827168528732,-13.06739894317449,0.29051328666157916,1.6674502951403458,,0.00048458796011219523
36,1,-13.029624250508094,-13.067411818968862,0.2607639443963113,,,0.0004538521558579735
37,1,-13.030417131207095,-13.066980093543872,0.20823502946497033,,,0.0004232914062334438
38,1,-13.03123994052256,-13.06714797833877,0.3383253628517318,,,0.0003930216336389541
39,1,-13.03208015562644,-13.066975013898077,0.21621172528801416,,,0.0003631576567468294
40,1,-13.032863073570784,-13.066876053313829,0.3455987287261581,1.9140358954668044,,0.0003338127549735696
41,1,-13.033590476334249,-13.066864683864317,0.2301978713464233,,,0.0003050982387907222
42,1,-13.034371269457717,-13.06669853172334,0.22550979934540843,,,0.0002771230275043128
